Time (min),Cumulative Depth (in),Intensity (in/hr)
0,0.0,0.0
15,0.0025,0.010000000000000018
30,0.005,0.009999999999999992
45,0.0075,0.009999999999999992
60,0.01,0.010000000000000044
75,0.012499999999999999,0.00999999999999994
90,0.015,0.010000000000000044
105,0.017499999999999998,0.00999999999999994
120,0.02,0.010000000000000148
135,0.022875,0.011499999999999982
150,0.02575,0.011499999999999982
165,0.028624999999999998,0.011499999999999982
180,0.0315,0.011499999999999982
195,0.034375,0.011500000000000399
210,0.03725,0.011499999999999982
225,0.040124999999999994,0.011499999999999566
240,0.043,0.011499999999999982
255,0.046625,0.014500000000000068
270,0.050249999999999996,0.014500000000000068
285,0.05387499999999999,0.014500000000000068
300,0.057499999999999996,0.014500000000000068
315,0.061125,0.014500000000000068
330,0.06475,0.014500000000000068
345,0.06837499999999999,0.014500000000000068
360,0.072,0.014500000000000068
375,0.07625,0.017000000000000626
390,0.08049999999999999,0.016999999999999793
405,0.08474999999999999,0.016999999999999793
420,0.089,0.016999999999999793
435,0.0955,0.026000000000000467
450,0.10200000000000001,0.026000000000000467
465,0.1085,0.025999999999999635
480,0.115,0.025999999999999635
495,0.1225,0.029999999999999194
510,0.13,0.030000000000000027
525,0.139,0.03600000000000103
540,0.148,0.035999999999999366
555,0.1575,0.03800000000000081
570,0.167,0.03800000000000081
585,0.178,0.04400000000000015
600,0.189,0.04400000000000015
615,0.2025,0.054000000000000714
630,0.216,0.054000000000000714
645,0.23299999999999998,0.06799999999999917
660,0.25,0.06799999999999917
675,0.274,0.09600000000000275
690,0.298,0.09599999999999942
705,0.339,0.1639999999999986
720,0.5,0.643999999999999
735,0.601,0.40400000000000214
750,0.702,0.40400000000000214
765,0.7264999999999999,0.09799999999999587
780,0.751,0.09800000000000253
795,0.7651666666666667,0.05666666666666487
810,0.7793333333333333,0.05666666666666487
825,0.7947500000000001,0.0649999999999995
840,0.811,0.0649999999999995
855,0.8203750000000001,0.0374999999999992
870,0.82975,0.0374999999999992
885,0.839125,0.0374999999999992
900,0.8485,0.0374999999999992
915,0.857875,0.0374999999999992
930,0.86725,0.0374999999999992
945,0.876625,0.0374999999999992
960,0.886,0.0374999999999992
975,0.8904375,0.01774999999999638
990,0.894875,0.01774999999999638
1005,0.8993125,0.01774999999999638
1020,0.90375,0.01775000000000304
1035,0.9081875,0.01775000000000304
1050,0.912625,0.01775000000000304
1065,0.9170625,0.01775000000000304
1080,0.9215,0.01775000000000304
1095,0.9259375,0.01774999999999638
1110,0.930375,0.01774999999999638
1125,0.9348124999999999,0.01774999999999638
1140,0.9392499999999999,0.01774999999999638
1155,0.9436875,0.01775000000000304
1170,0.948125,0.01775000000000304
1185,0.9525625,0.01775000000000304
1200,0.957,0.01775000000000304
1215,0.9596874999999999,0.01074999999999715
1230,0.962375,0.010750000000003812
1245,0.9650624999999999,0.01074999999999715
1260,0.96775,0.010750000000003812
1275,0.9704375,0.01074999999999715
1290,0.973125,0.010750000000003812
1305,0.9758125,0.01074999999999715
1320,0.9784999999999999,0.01074999999999715
1335,0.9811875,0.010750000000003812
1350,0.9838749999999999,0.01074999999999715
1365,0.9865625,0.010750000000003812
1380,0.98925,0.01074999999999715
1395,0.9919375,0.010750000000003812
1410,0.994625,0.01074999999999715
1425,0.9973125,0.010750000000003812
1440,1.0,0.01074999999999715
